topology,e_w_mult,e_w,n_networks,n_avalanches,frac_extinct,frac_censored,mean_size_all,median_size_all,p90_size_all,p99_size_all,mean_duration_all,median_duration_all,p90_duration_all,p99_duration_all,mean_size_extinct,mean_duration_extinct,size_tail_n,size_pl_alpha,size_aic_powerlaw,size_aic_exponential,size_aic_lognormal,size_best_tail_model,size_delta_aic_exp_minus_pl,size_delta_aic_lognorm_minus_pl,duration_tail_n,duration_pl_alpha,duration_aic_powerlaw,duration_aic_exponential,duration_aic_lognormal,duration_best_tail_model,duration_delta_aic_exp_minus_pl,duration_delta_aic_lognorm_minus_pl,griffiths_like_avalanche_candidate
er_matched,0.5,10.70575,2,80,0.9875,0.0125,424.1875,319.0,921.9000000000002,1994.669999999988,134.9625,96.5,273.20000000000016,631.0699999999971,385.0379746835443,124.0126582278481,78,1.231477123667595,1231.5869839220668,1087.498747466209,1108.6327546945613,exponential,-144.0882364558579,-122.9542292275055,79,1.272304304522198,1055.2824032053973,919.0517176600775,933.6524819546571,exponential,-136.23068554531972,-121.62992125074015,False
er_matched,0.75,16.058625,2,80,0.8875,0.1125,825.15,133.5,5085.500000000001,5564.959999999998,182.575,45.5,1000.0,1000.0,246.4788732394366,78.95774647887323,69,1.280693161651405,958.57660149291,902.2812362230507,895.3455657009206,lognormal,-56.2953652698593,-63.23103579198937,71,1.3342925390586304,822.7994623254124,760.7424264377221,756.070535039924,lognormal,-62.05703588769029,-66.72892728548834,False
er_matched,1.0,21.4115,2,80,0.7875,0.2125,1509.4125,322.5,5438.900000000001,5906.609999999998,308.5375,97.0,1000.0,1000.0,432.1587301587302,121.95238095238095,61,1.2469757922830123,922.6189621614044,867.4922372499979,861.7911724986654,lognormal,-55.12672491140654,-60.82778966273895,63,1.2949167793578191,796.4295349977858,731.1739496672776,733.4827041081812,exponential,-65.25558533050821,-62.9468308896046,False
er_matched,1.25,26.764375,2,80,0.7875,0.2125,1478.825,311.5,5420.3,5732.419999999999,306.2875,101.5,1000.0,1000.0,410.031746031746,119.0952380952381,61,1.2442842424331964,929.3984950038805,861.030064349307,853.694963931221,lognormal,-68.36843065457344,-75.70353107265953,63,1.2939588984890755,798.2316270699905,728.136438166089,728.0566760778852,lognormal,-70.09518890390154,-70.17495099210532,False
er_matched,1.5,32.11725,2,80,0.725,0.275,1709.9375,329.5,5493.400000000001,5802.15,344.4625,101.0,1000.0,1000.0,297.01724137931035,95.8103448275862,56,1.2491308073404093,842.2626491193952,754.5239976694411,771.6733918452222,exponential,-87.73865144995409,-70.58925727417295,58,1.2998361309854563,725.0072892944652,644.7879157689827,656.562195036243,exponential,-80.21937352548252,-68.44509425822218,False
hiermod,0.5,10.70575,2,80,1.0,0.0,423.5625,265.0,974.6000000000008,2122.9899999999925,127.3,83.5,310.60000000000014,610.2999999999979,423.5625,127.3,78,1.2315542225363545,1231.3106388249194,1104.4520111154507,1113.4984770016126,exponential,-126.85862770946869,-117.81216182330672,80,1.2805017117607402,1046.6981223799744,934.9137379043236,939.022894507692,exponential,-111.78438447565077,-107.67522787228245,False
hiermod,0.75,16.058625,2,80,1.0,0.0,617.3375,298.0,1440.100000000001,2584.5999999999985,166.8625,84.5,401.60000000000025,669.4499999999997,617.3375,166.8625,79,1.2138535214852588,1316.1135162198877,1176.4399004693737,1188.2336595524553,exponential,-139.67361575051405,-127.87985666743248,80,1.2590973749038832,1106.5202093307382,978.8178869043206,989.1209014280298,exponential,-127.7023224264176,-117.39930790270841,False
hiermod,1.0,21.4115,2,80,1.0,0.0,465.725,350.0,1021.8000000000004,2639.8499999999995,133.9125,96.5,262.8000000000006,627.5799999999994,465.725,133.9125,80,1.2279365644085112,1276.3177194037607,1143.9412680228447,1159.5674527646772,exponential,-132.37645138091602,-116.75026663908352,80,1.2710983691995845,1071.9389877264086,943.1422118395534,949.9561287470053,exponential,-128.79677588685524,-121.98285897940332,False
hiermod,1.25,26.764375,2,80,1.0,0.0,493.3,314.0,1445.4000000000008,1897.1899999999998,141.0875,99.0,359.4000000000002,521.5699999999993,493.3,141.0875,78,1.2187248324302626,1279.7191986370874,1128.38423105034,1138.658896804243,exponential,-151.33496758674733,-141.0603018328443,80,1.2649245668249112,1089.3786725114992,951.616517037411,963.3811320619444,exponential,-137.76215547408822,-125.99754044955478,False
hiermod,1.5,32.11725,2,80,1.0,0.0,520.8625,329.0,1155.0000000000014,2110.139999999999,148.0875,97.0,331.0000000000001,640.68,520.8625,148.0875,77,1.2173290412111077,1268.8460279919636,1124.3562383714225,1140.1767790940946,exponential,-144.48978962054116,-128.669248897869,80,1.2687538845507438,1078.4772602468483,959.472921161484,972.682616164831,exponential,-119.00433908536434,-105.79464408201738,False
