regime,gain,seed,p_ext,mean_pop_count,active_frac,pop_var,branching_ratio_regression,n_avalanches,mv_exp,mv_r2,timescale_exp,timescale_r2,kurtosis_logscale_slope
high_drive_icg,0.4,0,0.015,53.82125,1.0,69.5367984375,0.9861142639661162,1,1.553071804138763,0.9999807133945056,0.22575520032032606,0.9208185369987572,-0.2642557850895396
high_drive_icg,0.4,1,0.015,53.79,1.0,65.9259,0.9874444654983978,1,1.5578570753649985,0.9999868497717304,0.20087594156412916,0.9754213754550826,-0.23389743250103495
high_drive_icg,0.6,0,0.015,71.87,1.0,96.74310000000001,0.9904819910051937,1,1.5728089369887832,0.999776942860533,0.2519180965890342,0.9431385482840046,-0.3333697829186492
high_drive_icg,0.6,1,0.015,72.06625,1.0,101.3993609375,0.991018586847431,1,1.5801920011391062,0.9997796551614729,0.14439440599394637,0.9764396719790908,-0.24619366057478798
high_drive_icg,0.8,0,0.015,72.385,1.0,98.12427500000001,0.9906080214689872,1,1.5785139484657968,0.9998234014891246,0.2303006329990023,0.9927242750764531,-0.290739971748029
high_drive_icg,0.8,1,0.015,72.48375,1.0,102.53973593750001,0.9909662808136049,1,1.576244864638585,0.9996965229605433,0.14967730310017172,0.9818726860635468,-0.20619685364356413
high_drive_icg,1.0,0,0.015,72.395,1.0,98.241475,0.9906044490635038,1,1.58121246384996,0.9998471239886995,0.24584921888107047,0.9823238713219147,-0.4233549881858189
high_drive_icg,1.0,1,0.015,72.4875,1.0,102.56234375,0.9909613958025456,1,1.576209629111908,0.9996948921570055,0.14954218229600358,0.9817497645216261,-0.20679512653881443
high_drive_icg,1.2,0,0.015,72.395,1.0,98.241475,0.9906044490635038,1,1.58121246384996,0.9998471239886995,0.24584921888107047,0.9823238713219147,-0.4233549881858189
high_drive_icg,1.2,1,0.015,72.4875,1.0,102.56234375,0.9909613958025456,1,1.576209629111908,0.9996948921570055,0.14954218229600358,0.9817497645216261,-0.20679512653881443
high_drive_icg,1.4,0,0.015,72.395,1.0,98.241475,0.9906044490635038,1,1.58121246384996,0.9998471239886995,0.24584921888107047,0.9823238713219147,-0.4233549881858189
high_drive_icg,1.4,1,0.015,72.4875,1.0,102.56234375,0.9909613958025456,1,1.576209629111908,0.9996948921570055,0.14954218229600358,0.9817497645216261,-0.20679512653881443
high_drive_icg,1.6,0,0.015,72.395,1.0,98.241475,0.9906044490635038,1,1.58121246384996,0.9998471239886995,0.24584921888107047,0.9823238713219147,-0.4233549881858189
high_drive_icg,1.6,1,0.015,72.4875,1.0,102.56234375,0.9909613958025456,1,1.576209629111908,0.9996948921570055,0.14954218229600358,0.9817497645216261,-0.20679512653881443
